Exchange Date,Close,Open,Low,High,Volume
8/6/2009,481.44,481.61,481.27,490.99,60747000
8/5/2009,481.29,474.38,472.33,481.29,42205000
8/4/2009,476.59,475.09,472.64,477.61,46177000
8/3/2009,467.93,466.82,465.36,473.25,35106000
7/31/2009,466.76,457.55,457.55,466.76,38509000
7/30/2009,451.91,451.8,444.95,455.23,31547000
7/29/2009,458.04,464.39,458.04,470.23,36279000
7/28/2009,462.98,467.34,462.68,472.58,61307000
7/27/2009,469.71,462.25,460.22,470.19,62328000
7/24/2009,454.71,444.96,444.96,454.71,28538000
7/23/2009,434.2,417.65,417.21,434.2,25761000
7/22/2009,419.48,423.4,419.08,423.4,20855000
7/21/2009,416.43,412.97,412.23,418.22,26244000
7/20/2009,412.88,415.29,411.39,415.31,28743000
7/17/2009,428.67,431.94,427.75,431.94,25583000
7/16/2009,433.47,438.07,432.22,440.43,30059000
